date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-06-30,quickplay,Asia,antarctic-peninsula,All,레킹볼,TANK,3.6,47.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,로드호그,TANK,6.3,46.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,루시우,SUPPORT,4.2,48.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,리퍼,DAMAGE,6.8,49.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,마우가,TANK,9.4,51.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,메르시,SUPPORT,6.5,45.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,메이,DAMAGE,8.1,54.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,모이라,SUPPORT,24.7,53.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,미즈키,SUPPORT,25.0,54.6,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,바스티온,DAMAGE,7.1,49.6,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,바티스트,SUPPORT,4.8,47.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,벤데타,DAMAGE,3.3,48.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,벤처,DAMAGE,1.7,50.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,브리기테,SUPPORT,4.5,49.7,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,소전,DAMAGE,10.0,45.3,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,솔저: 76,DAMAGE,10.4,49.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,솜브라,DAMAGE,3.8,46.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,시그마,TANK,9.6,52.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,시메트라,DAMAGE,2.5,57.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,시에라,DAMAGE,13.6,49.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,시온,DAMAGE,58.7,53.8,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,아나,SUPPORT,33.5,44.8,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,안란,DAMAGE,9.5,53.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,애쉬,DAMAGE,4.5,48.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,에코,DAMAGE,2.6,46.8,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,엠레,DAMAGE,4.8,47.7,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,오리사,TANK,11.3,47.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,우양,SUPPORT,11.9,52.3,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,위도우메이커,DAMAGE,1.3,38.7,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,윈스턴,TANK,4.9,50.6,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,일리아리,SUPPORT,4.4,51.1,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,자리야,TANK,8.8,53.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,정커퀸,TANK,3.8,53.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,정크랫,DAMAGE,5.2,51.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,제트팩 캣,SUPPORT,5.2,48.3,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,젠야타,SUPPORT,10.1,53.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,주노,SUPPORT,12.1,49.0,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,캐서디,DAMAGE,18.9,49.2,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,키리코,SUPPORT,45.6,49.4,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,토르비욘,DAMAGE,2.4,56.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,트레이서,DAMAGE,5.7,47.7,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,파라,DAMAGE,3.7,48.8,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,프레야,DAMAGE,2.7,42.9,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,한조,DAMAGE,4.7,48.5,0.0
2026-06-30,quickplay,Asia,antarctic-peninsula,All,해저드,TANK,4.5,53.1,0.0
2026-06-30,quickplay,Asia,nepal,All,D.Va,TANK,5.6,43.7,0.0
2026-06-30,quickplay,Asia,nepal,All,겐지,DAMAGE,9.2,50.7,0.0
2026-06-30,quickplay,Asia,nepal,All,도미나,TANK,5.2,52.3,0.0
2026-06-30,quickplay,Asia,nepal,All,둠피스트,TANK,10.6,50.5,0.0
2026-06-30,quickplay,Asia,nepal,All,라마트라,TANK,6.8,50.1,0.0
2026-06-30,quickplay,Asia,nepal,All,라이프위버,SUPPORT,7.3,46.9,0.0
2026-06-30,quickplay,Asia,nepal,All,라인하르트,TANK,11.1,54.9,0.0
2026-06-30,quickplay,Asia,nepal,All,레킹볼,TANK,3.4,47.8,0.0
2026-06-30,quickplay,Asia,nepal,All,로드호그,TANK,8.3,46.6,0.0
2026-06-30,quickplay,Asia,nepal,All,루시우,SUPPORT,6.1,49.9,0.0
2026-06-30,quickplay,Asia,nepal,All,리퍼,DAMAGE,7.0,50.1,0.0
2026-06-30,quickplay,Asia,nepal,All,마우가,TANK,8.7,49.6,0.0
2026-06-30,quickplay,Asia,nepal,All,메르시,SUPPORT,6.8,45.4,0.0
2026-06-30,quickplay,Asia,nepal,All,메이,DAMAGE,6.8,55.2,0.0
2026-06-30,quickplay,Asia,nepal,All,모이라,SUPPORT,23.6,54.2,0.0
2026-06-30,quickplay,Asia,nepal,All,미즈키,SUPPORT,22.6,53.9,0.0
2026-06-30,quickplay,Asia,nepal,All,바스티온,DAMAGE,6.6,49.0,0.0
2026-06-30,quickplay,Asia,nepal,All,바티스트,SUPPORT,4.2,45.6,0.0
2026-06-30,quickplay,Asia,nepal,All,벤데타,DAMAGE,3.2,50.7,0.0
2026-06-30,quickplay,Asia,nepal,All,벤처,DAMAGE,1.9,53.2,0.0
2026-06-30,quickplay,Asia,nepal,All,브리기테,SUPPORT,4.2,51.6,0.0
2026-06-30,quickplay,Asia,nepal,All,소전,DAMAGE,9.3,45.1,0.0
2026-06-30,quickplay,Asia,nepal,All,솔저: 76,DAMAGE,10.0,47.8,0.0
2026-06-30,quickplay,Asia,nepal,All,솜브라,DAMAGE,3.6,45.3,0.0
2026-06-30,quickplay,Asia,nepal,All,시그마,TANK,7.8,51.1,0.0
2026-06-30,quickplay,Asia,nepal,All,시메트라,DAMAGE,4.1,59.0,0.0
2026-06-30,quickplay,Asia,nepal,All,시에라,DAMAGE,13.2,49.8,0.0
2026-06-30,quickplay,Asia,nepal,All,시온,DAMAGE,56.9,52.3,0.0
2026-06-30,quickplay,Asia,nepal,All,아나,SUPPORT,37.1,46.1,0.0
2026-06-30,quickplay,Asia,nepal,All,안란,DAMAGE,9.7,52.6,0.0
2026-06-30,quickplay,Asia,nepal,All,애쉬,DAMAGE,4.5,47.6,0.0
2026-06-30,quickplay,Asia,nepal,All,에코,DAMAGE,2.7,49.0,0.0
2026-06-30,quickplay,Asia,nepal,All,엠레,DAMAGE,4.9,46.7,0.0
2026-06-30,quickplay,Asia,nepal,All,오리사,TANK,12.0,47.3,0.0
2026-06-30,quickplay,Asia,nepal,All,우양,SUPPORT,12.4,51.5,0.0
2026-06-30,quickplay,Asia,nepal,All,위도우메이커,DAMAGE,1.3,39.5,0.0
2026-06-30,quickplay,Asia,nepal,All,윈스턴,TANK,4.5,49.8,0.0
2026-06-30,quickplay,Asia,nepal,All,일리아리,SUPPORT,4.5,49.9,0.0
2026-06-30,quickplay,Asia,nepal,All,자리야,TANK,8.4,51.3,0.0
2026-06-30,quickplay,Asia,nepal,All,정커퀸,TANK,3.2,52.3,0.0
2026-06-30,quickplay,Asia,nepal,All,정크랫,DAMAGE,6.9,53.0,0.0
2026-06-30,quickplay,Asia,nepal,All,제트팩 캣,SUPPORT,5.6,50.8,0.0
2026-06-30,quickplay,Asia,nepal,All,젠야타,SUPPORT,11.1,52.3,0.0
2026-06-30,quickplay,Asia,nepal,All,주노,SUPPORT,10.7,49.3,0.0
2026-06-30,quickplay,Asia,nepal,All,캐서디,DAMAGE,17.4,46.9,0.0
2026-06-30,quickplay,Asia,nepal,All,키리코,SUPPORT,43.8,48.8,0.0
2026-06-30,quickplay,Asia,nepal,All,토르비욘,DAMAGE,2.1,55.2,0.0
2026-06-30,quickplay,Asia,nepal,All,트레이서,DAMAGE,5.2,47.7,0.0
2026-06-30,quickplay,Asia,nepal,All,파라,DAMAGE,5.2,52.1,0.0
2026-06-30,quickplay,Asia,nepal,All,프레야,DAMAGE,2.9,46.0,0.0
2026-06-30,quickplay,Asia,nepal,All,한조,DAMAGE,5.3,49.6,0.0
2026-06-30,quickplay,Asia,nepal,All,해저드,TANK,4.3,53.2,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,D.Va,TANK,5.5,43.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,겐지,DAMAGE,8.6,50.9,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,도미나,TANK,5.1,51.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,둠피스트,TANK,12.0,51.8,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,라마트라,TANK,6.3,49.0,0.0
