date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-07-20,quickplay,Americas,all-maps,All,D.Va,TANK,8.5,45.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,겐지,DAMAGE,9.7,50.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,도미나,TANK,6.7,50.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,둠피스트,TANK,8.3,49.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,라마트라,TANK,9.3,51.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,라이프위버,SUPPORT,15.2,48.2,0.0
2026-07-20,quickplay,Americas,all-maps,All,라인하르트,TANK,13.1,54.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,레킹볼,TANK,2.8,49.7,0.0
2026-07-20,quickplay,Americas,all-maps,All,로드호그,TANK,8.1,45.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,루시우,SUPPORT,7.4,52.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,리퍼,DAMAGE,7.5,52.2,0.0
2026-07-20,quickplay,Americas,all-maps,All,마우가,TANK,8.5,53.0,0.0
2026-07-20,quickplay,Americas,all-maps,All,메르시,SUPPORT,22.1,47.9,0.0
2026-07-20,quickplay,Americas,all-maps,All,메이,DAMAGE,7.4,54.0,0.0
2026-07-20,quickplay,Americas,all-maps,All,모이라,SUPPORT,22.0,51.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,미즈키,SUPPORT,17.6,53.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,바스티온,DAMAGE,11.3,48.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,바티스트,SUPPORT,5.1,46.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,벤데타,DAMAGE,6.8,53.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,벤처,DAMAGE,3.0,52.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,브리기테,SUPPORT,6.9,53.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,소전,DAMAGE,5.8,44.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,솔저: 76,DAMAGE,11.1,48.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,솜브라,DAMAGE,5.5,47.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,시그마,TANK,8.1,49.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,시메트라,DAMAGE,2.9,54.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,시에라,DAMAGE,15.2,50.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,시온,DAMAGE,15.0,48.9,0.0
2026-07-20,quickplay,Americas,all-maps,All,아나,SUPPORT,22.6,47.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,안란,DAMAGE,15.1,53.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,애쉬,DAMAGE,10.5,50.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,에코,DAMAGE,4.6,48.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,엠레,DAMAGE,6.7,47.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,오리사,TANK,9.8,45.9,0.0
2026-07-20,quickplay,Americas,all-maps,All,우양,SUPPORT,7.7,50.2,0.0
2026-07-20,quickplay,Americas,all-maps,All,위도우메이커,DAMAGE,8.1,45.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,윈스턴,TANK,3.8,50.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,일리아리,SUPPORT,5.9,49.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,자리야,TANK,4.2,48.9,0.0
2026-07-20,quickplay,Americas,all-maps,All,정커퀸,TANK,5.5,55.4,0.0
2026-07-20,quickplay,Americas,all-maps,All,정크랫,DAMAGE,11.1,52.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,제트팩 캣,SUPPORT,11.0,51.1,0.0
2026-07-20,quickplay,Americas,all-maps,All,젠야타,SUPPORT,11.6,54.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,주노,SUPPORT,22.2,50.9,0.0
2026-07-20,quickplay,Americas,all-maps,All,캐서디,DAMAGE,14.1,46.7,0.0
2026-07-20,quickplay,Americas,all-maps,All,키리코,SUPPORT,22.8,46.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,토르비욘,DAMAGE,4.3,56.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,트레이서,DAMAGE,4.6,48.8,0.0
2026-07-20,quickplay,Americas,all-maps,All,파라,DAMAGE,4.3,52.5,0.0
2026-07-20,quickplay,Americas,all-maps,All,프레야,DAMAGE,6.5,48.3,0.0
2026-07-20,quickplay,Americas,all-maps,All,한조,DAMAGE,8.8,49.6,0.0
2026-07-20,quickplay,Americas,all-maps,All,해저드,TANK,3.4,51.2,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,D.Va,TANK,8.3,43.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,겐지,DAMAGE,9.1,47.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,도미나,TANK,5.8,50.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,둠피스트,TANK,7.7,43.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,라마트라,TANK,9.7,52.3,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,라이프위버,SUPPORT,14.1,47.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,라인하르트,TANK,13.0,54.0,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,레킹볼,TANK,2.9,46.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,로드호그,TANK,7.5,46.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,루시우,SUPPORT,6.2,50.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,리퍼,DAMAGE,8.9,52.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,마우가,TANK,9.5,54.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,메르시,SUPPORT,21.5,48.0,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,메이,DAMAGE,9.0,55.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,모이라,SUPPORT,24.8,53.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,미즈키,SUPPORT,19.0,52.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,바스티온,DAMAGE,11.7,49.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,바티스트,SUPPORT,5.4,46.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,벤데타,DAMAGE,7.3,50.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,벤처,DAMAGE,3.1,52.1,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,브리기테,SUPPORT,8.4,53.3,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,소전,DAMAGE,5.9,44.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,솔저: 76,DAMAGE,11.8,50.8,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,솜브라,DAMAGE,6.0,48.9,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,시그마,TANK,7.0,50.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,시메트라,DAMAGE,3.2,57.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,시에라,DAMAGE,15.6,51.1,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,시온,DAMAGE,16.4,48.2,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,아나,SUPPORT,19.5,48.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,안란,DAMAGE,16.4,53.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,애쉬,DAMAGE,8.1,48.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,에코,DAMAGE,4.5,46.1,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,엠레,DAMAGE,6.2,47.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,오리사,TANK,9.5,46.0,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,우양,SUPPORT,8.0,50.0,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,위도우메이커,DAMAGE,4.3,41.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,윈스턴,TANK,3.8,50.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,일리아리,SUPPORT,5.3,49.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,자리야,TANK,5.1,51.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,정커퀸,TANK,6.4,57.1,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,정크랫,DAMAGE,10.4,50.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,제트팩 캣,SUPPORT,10.2,47.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,젠야타,SUPPORT,11.2,54.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,주노,SUPPORT,22.6,50.3,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,캐서디,DAMAGE,15.4,47.8,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,키리코,SUPPORT,24.0,46.5,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,토르비욘,DAMAGE,4.3,57.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,트레이서,DAMAGE,5.7,50.6,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,파라,DAMAGE,3.6,50.1,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,프레야,DAMAGE,5.9,47.7,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,한조,DAMAGE,7.3,48.4,0.0
2026-07-20,quickplay,Americas,antarctic-peninsula,All,해저드,TANK,3.8,48.2,0.0
2026-07-20,quickplay,Americas,nepal,All,D.Va,TANK,8.0,44.7,0.0
2026-07-20,quickplay,Americas,nepal,All,겐지,DAMAGE,10.1,49.2,0.0
2026-07-20,quickplay,Americas,nepal,All,도미나,TANK,5.8,49.2,0.0
2026-07-20,quickplay,Americas,nepal,All,둠피스트,TANK,9.3,50.1,0.0
2026-07-20,quickplay,Americas,nepal,All,라마트라,TANK,9.1,51.8,0.0
2026-07-20,quickplay,Americas,nepal,All,라이프위버,SUPPORT,15.1,45.6,0.0
2026-07-20,quickplay,Americas,nepal,All,라인하르트,TANK,12.9,54.0,0.0
2026-07-20,quickplay,Americas,nepal,All,레킹볼,TANK,2.7,45.9,0.0
2026-07-20,quickplay,Americas,nepal,All,로드호그,TANK,9.8,46.7,0.0
