date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-05-17,quickplay,Americas,antarctic-peninsula,All,로드호그,TANK,7.4,48.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,루시우,SUPPORT,6.3,48.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,리퍼,DAMAGE,9.7,54.0,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,마우가,TANK,7.3,51.4,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,메르시,SUPPORT,26.8,49.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,메이,DAMAGE,8.2,53.5,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,모이라,SUPPORT,22.0,51.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,미즈키,SUPPORT,14.5,52.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,바스티온,DAMAGE,11.7,49.8,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,바티스트,SUPPORT,5.5,47.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,벤데타,DAMAGE,6.1,48.2,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,벤처,DAMAGE,3.7,51.8,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,브리기테,SUPPORT,8.2,53.3,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,소전,DAMAGE,6.4,44.6,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,솔저: 76,DAMAGE,12.5,51.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,솜브라,DAMAGE,5.6,50.4,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,시그마,TANK,6.3,51.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,시메트라,DAMAGE,3.1,58.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,시에라,DAMAGE,26.9,51.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,아나,SUPPORT,24.8,45.7,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,안란,DAMAGE,13.9,52.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,애쉬,DAMAGE,9.0,48.2,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,에코,DAMAGE,5.9,48.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,엠레,DAMAGE,8.9,46.9,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,오리사,TANK,9.3,46.1,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,우양,SUPPORT,9.7,52.8,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,위도우메이커,DAMAGE,3.5,40.2,0.0
2026-05-17,quickplay,Americas,antarctic-peninsula,All,윈스턴,TANK,4.1,52.9,0.0
